Location,State Senate Majority Political Affiliation,State House Majority Political Affiliation,Barbie vs Oppenheimer
Alabama,Republican,Republican,-6
Alaska,Republican,Republican,4
Arizona,Republican,Republican,-2
Arkansas,Republican,Republican,-12
California,Democrat,Democrat,6
Colorado,Democrat,Democrat,4
Connecticut,Democrat,Democrat,4
Delaware,Democrat,Democrat,0
District of Columbia,Democrat,N/A,20
Florida,Republican,Republican,-2
Georgia,Republican,Republican,-6
Hawaii,Democrat,Democrat,2
Idaho,Republican,Republican,-2
Illinois,Democrat,Democrat,2
Indiana,Republican,Republican,2
Iowa,Republican,Republican,2
Kansas,Republican,Republican,2
Kentucky,Republican,Republican,-10
Louisiana,Republican,Republican,-14
Maine,Democrat,Democrat,4
Maryland,Democrat,Democrat,-2
Massachusetts,Democrat,Democrat,6
Michigan,Democrat,Divided,0
Minnesota,Democrat,Democrat,2
Mississippi,Republican,Republican,-20
Missouri,Republican,Republican,-4
Montana,Republican,Republican,4
Nebraska,N/A,N/A,0
Nevada,Democrat,Democrat,-4
New Hampshire,Republican,Republican,10
New Jersey,Democrat,Democrat,4
New Mexico,Democrat,Democrat,16
New York,Democrat,Democrat,8
North Carolina,Republican,Republican,-2
North Dakota,Republican,Republican,2
Ohio,Republican,Republican,-4
Oklahoma,Republican,Republican,-8
Oregon,Democrat,Democrat,-2
Pennsylvania,Republican,Democrat,0
Rhode Island,Democrat,Democrat,4
South Carolina,Republican,Republican,-8
South Dakota,Republican,Republican,-2
Tennessee,Republican,Republican,-6
Texas,Republican,Republican,-6
Utah,Republican,Republican,2
Vermont,Democrat,Democrat,6
Virginia,Democrat,Democrat,8
Washington,Democrat,Democrat,8
West Virginia,Republican,Republican,-8
Wisconsin,Republican,Republican,0
Wyoming,Republican,Republican,0
